GAME_UNDER_CONSTRUCTION = "Το παιχνίδι βρίσκεται υπο κατασκευή και δέν είναι διαθέσιμο για το ευρύ κοινό ακόμα"
SERVER_STATUS = "Κατάσταση Διακομιστή"
LOGIN = "Σύνδεση χρήστη"
WELCOME = "Καλωσήλθες"
USERNAME = "Όνομα χρήστη"
PASSWORD = "Κωδικός"
LOGIN_OK = "Έχετε συνδεθεί επιτυχώς, παρακλώ επιλέξτε έναν απο τους χαρακτήρες σας παρακάτω για να ξεκινήσετε το παιχνίδι:"
PLAYER_INFO = "Πληροφορίες Χρήστη"
LOADING_GRAPHICS = "Φόρτωση γραφικών"

TOO_FAR_AWAY = "Είστε πολύ μακρυά, ελάτε πιό κοντά!"

STATISTICS = "Στατιστικά"

COINS = "Νομίσματα"

SHOP_BUY_WELCOME = "Καλωσήλθες ταξιδιώτη! Πώς θα μπορούσα να σε εξυπηρετήσω;"
SHOP_BUY_THANKS_1 = "Ορίστε το "
SHOP_BUY_THANKS_2 = "σας. Ευχαριστώ!"
SHOP_BUY_THANKS_PL_1 = "Ορίστε τα "
SHOP_BUY_THANKS_PL_2 = " σας. Ευχαριστώ!"
SHOP_BUY_EXPENSIVE = "Συγνώμη, αλλα αυτό το αντικείμενο είναι πολύ ακριβό για εσάς!"
SHOP_BUY_EXPENSIVE_PL = "Συγνώμη, αλλα φαίνεται πως δέν έχετε χρήματα για όλα τα αντικείμενα!"
SHOP_BUY_NOTHING = "Συγνώμη.. αλλα έχω τίποτα να σας πουλήσω!"

SHOP_SELL_WELCOME = "Καλωσήλθες ταξιδιώτη! Τί θέλεις να μου πουλήσεις;"
SHOP_SELL_THANKS_1 = "Ευχαριστώ για το "
SHOP_SELL_THANKS_2 = " σας. Ορίστε τα "
SHOP_SELL_THANKS_PL_1 = "Ευχαριστώ για τα "
SHOP_SELL_THANKS_PL_2 = " σας. Ορίστε τα "
SHOP_SELL_NOTHING = "Δέν έχετε κάτι που μπορεί να πουληθεί!"
