GAME_UNDER_CONSTRUCTION = "Το παιχνίδι βρίσκεται υπο κατασκευή και δέν είναι διαθέσιμο για το ευρύ κοινό ακόμα"
SERVER_STATUS = "Κατάσταση Διακομιστή"
LOGIN = "Σύνδεση χρήστη"
WELCOME = "Καλωσήλθες"
USERNAME = "Όνομα χρήστη"
PASSWORD = "Κωδικός"
LOGIN_OK = "Έχετε συνδεθεί επιτυχώς, παρακλώ επιλέξτε έναν απο τους χαρακτήρες σας παρακάτω για να ξεκινήσετε το παιχνίδι:"
PLAYER_INFO = "Πληροφορίες Χρήστη"
LOADING_GRAPHICS = "Φόρτωση γραφικών"

TOO_FAR_AWAY = "Είστε πολύ μακρυά, ελάτε πιό κοντά!"

STATISTICS = "Στατιστικά"

COINS = "Νομίσματα"

SHOP_BUY_WELCOME = "Καλωσήλθες ταξιδιώτη! Πώς θα μπορούσα να σε εξυπηρετήσω;"
SHOP_BUY_THANKS_1 = "Ορίστε το "
SHOP_BUY_THANKS_2 = "σας. Ευχαριστώ!"
SHOP_BUY_THANKS_PL_1 = "Ορίστε τα "
SHOP_BUY_THANKS_PL_2 = " σας. Ευχαριστώ!"
SHOP_BUY_EXPENSIVE = "Συγνώμη, αλλα αυτό το αντικείμενο είναι πολύ ακριβό για εσάς!"
SHOP_BUY_EXPENSIVE_PL = "Συγνώμη, αλλα φαίνεται πως δέν έχετε χρήματα για όλα τα αντικείμενα!"
SHOP_BUY_NOTHING = "Συγνώμη.. αλλα έχω τίποτα να σας πουλήσω!"

SHOP_SELL_WELCOME = "Καλωσήλθες ταξιδιώτη! Τί θέλεις να μου πουλήσεις;"
SHOP_SELL_THANKS_1 = "Ευχαριστώ για το "
SHOP_SELL_THANKS_2 = " σας. Ορίστε τα "
SHOP_SELL_THANKS_PL_1 = "Ευχαριστώ για τα "
SHOP_SELL_THANKS_PL_2 = " σας. Ορίστε τα "
SHOP_SELL_NOTHING = "Δέν έχετε κάτι που μπορεί να πουληθεί!"

QUALITY = "Ποιότητα"
CLASS = "Κατηγορία"
IS_ON = "Βρίσκεται στο"
SUBCLASS = "Υποκατηγορία"
MIXING = "Ανάμιξη"
SLOTS = "Θέσεις"
RACE = "Φυλή"
MONEY = "Χρήματα"
ITELLIGENCE = "Εξυπνάδα"

CHARACTER_EQUIPMENT = "Εξοπλισμός χαρακτήρα"
YOU_CAN_NOT_EQUIP_THIS_ITEM = "Δέ μπορείτε να φορέσετε αυτό το αντικείμενο"
YOU_CAN_NOT_EQUIP_THIS_ITEM_HERE = "Δέ μπορείτε να τοποθετήσετε αυτό το αντικείμενο εδώ"
THIS_ITEM_IS_EQUIPPED_ONLY_ON = "Αυτό το αντικείμενο φοριέται μόνο στο"
AND_NOT_ON = "και όχι στο"

NONE = "Κανένα"
HEAD = "Κεφάλι"
BACK = "Πλάτη"
NECK = "Λαιμό"
AMMO = "Πολεμοφόδιο"
HAND1 = "Αριστερό Χέρι"
CHEST = "Στήθος"
HAND2 = "Δεξί Χέρι"
LEGS = "Πόδι"
HANDS = "Γάντι"
FEET = "Παπούτσι"
POUCHE = "Σάκο"
